"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"BPO.PR.I","Brookfield Office Properties Inc. Class AAA Preference Shares Series II",20.62,-0.2,-0.960615,20.85,20.9,20.62,20.56,21.05,20.7644444,900,5.88,1.0789740085601807,206200000,10000000,,,,21.33,11.5,21.258,12.0643,77890,100,8717
"AII","Almonty Industries Inc.",1.09,0.01,0.925926,1.08,1.11,1.05,1.07,1.09,1.07987157,58642,,1.8568060398101807,205295746,188344721,-0.059999998,-19.8,6.412,1.2,0.29,1.1585,0.323,2157065,1000,81700
"GWO.PR.T","Great-West Lifeco Inc. 5.15% Non-Cumulative First Preferred Shares Series T",25.58,-0.02,-0.078125,25.57,25.58,25.52,25.52,25.67,25.5547221,3751,5.033,0.6663659811019897,204640000,8000000,,,,26.07,15.95,26.0426,16.5661,222500,13,5858
"SGQ","SouthGobi Resources Ltd.",0.75,0.01,1.351351,0.6,0.77,0.6,0.57,0.79,0.69375,8407,,3.6312689781188965,204582814,272702835,-0.090000003,-8.5,-2.206,1.39,0.01,1.0161,0.0345,784869,110,9286
"PWF.PR.I","Power Financial Corporation 6.00% Non-Cumulative 1st Pref Series I",25.54,0.05,0.196155,25.54,25.54,25.54,25.43,25.57,25.54,968,5.873,0.37504199147224426,204320000,8000000,,,,25.95,19.7,25.9216,20.0026,91950,2,8458
"CPX.PR.G","Capital Power Corporation cumulative minimum rate reset preference shares Series 7",25.54,0.12,0.472069,25.5,25.6,25.5,25.5,25.55,25.56,1532,5.873,0.23492500185966492,204320000,8000000,,,,25.8,18.04,25.7065,18.3645,115750,100,5475
"ESI","Ensign Energy Services Inc.",1.26,0.08,6.779661,1.18,1.26,1.17,1.25,1.26,1.22153462,1204305,,3.0386741161346436,204293134,163118758,-0.949999988,-1.2,0.145,1.6,0.22,1.4288,0.2394,6149078,18108,988105
"MAV","MAV Beauty Brands Inc.",5.54,-0.02,-0.359712,5.42,5.54,5.35,5.49,5.54,5.428,7778,,1.4443689584732056,203693872,36764669,0.189999997,29.9,0.683,7.35,1.78,7.1486,1.9594,495600,30,19891
"BAM.PF.B","Brookfield Asset Management Inc. Class A Preference Shares Series 34",20.58,-0.07,-0.338983,20.66,20.67,20.58,20.42,20.66,20.635727,11186,5.39,0.7260119915008545,203263206,9879277,,,,20.8,10.15,20.7131,10.9721,163800,18,9190
"POW.PR.G","Power Corporation of Canada 5.60% Non-Cumulative First Preferred Shares Series G",25.4,0.03,0.11825,25.36,25.4,25.32,25.33,25.43,25.3674358,4100,5.512,0.5977929830551147,203200000,8000000,,,,25.67,16.98,25.659,17.5408,44000,40,4472
"BEP.PR.I","Brookfield Renewable Partners L.P. Class A Preferred Limited Partnership Units Series 9",25.34,-0.05,-0.196928,25.36,25.38,25.33,25.34,25.4,25.3492631,9645,5.673,0.6461269855499268,202720000,8000000,,,,25.69,17,25.6162,17.5579,116795,25,7391
"S","Sherritt International Corporation",0.51,0,0,0.52,0.55,0.51,0.51,0.54,0.530302711,1909681,,1.9672069549560547,202615173,397284652,0.059999998,10.2,0.333,0.7,0.07,0.6668,0.0803,3853945,42250,880515
"BDI","Black Diamond Group Limited",3.47,0.07,2.058824,3.41,3.48,3.29,3.29,3.47,3.40173349,42604,,1.7451980113983154,202134690,58282072,-0.07,-48.1,0.951,3.49,0.9,3.4018,0.9754,395543,800,37038
